item_name,day_0,day_1,day_2,day_3,day_4,day_5,day_6,global_mean,global_std,volatility_cv
(유물)바리케이드 각인서,0.9571794315278638,0.9665061092601748,1.0598408833797626,1.0282571078508085,1.0062352472416534,1.0013536445535325,0.9790197463302831,12681.168909991486,8850.111981050532,0.6978940225358511
(유물)번개의 분노 각인서,0.9670008657735796,1.106624665923897,1.046156918550943,0.975179425572419,0.974392631151382,1.0009514034894063,0.9293118900033198,134.2711894017184,77.45239668935228,0.5768355596942455
(유물)분쇄의 주먹 각인서,0.816022929332689,1.051846273049229,1.1411170840238136,1.0170191507462836,0.9901197163424198,1.0986373286603262,0.8827053584334834,174.89767346934067,114.72317740431286,0.6559445596308843
(유물)불굴 각인서,0.5316779244966119,0.5552209463106956,2.51218415861325,0.64532180268874,0.4993891131632419,0.5244863231347194,1.6918899843203696,250.8865281288377,1406.5275711213958,5.606229962252504
(유물)선수필승 각인서,0.8961268691759137,0.9426544604772471,1.53816037853557,0.9569930350289587,0.8883854475766951,0.8933245876210958,0.8719105740817471,712.2422496768997,1481.0456953868525,2.079412862770653
(유물)속전속결 각인서,0.9473172616342102,0.9595780559118557,1.0602348629568914,1.04833787337257,0.9960031586857845,1.0091624540246549,0.9769106330744501,16227.891955893523,13802.702035648817,0.850554223134081
(유물)슈퍼 차지 각인서,0.9732886965482074,0.9762383682493468,1.0746642272392364,0.9932103065116212,0.9945343047953289,1.0051253886383942,0.9815437712635072,33110.138023216656,14351.453690379934,0.4334459034968918
(유물)승부사 각인서,0.9769499704585708,1.0258865999292073,1.0356160900662168,0.9820681843169622,0.985425016590819,1.0059429438176997,0.9884975619836462,468.19969522734334,170.78859016988872,0.3647772348227588
(유물)시선 집중 각인서,0.9213142279371526,1.0159531945578106,1.1637055812769124,0.9953413490535993,0.9730591073934687,0.9978169764892382,0.9293486482834934,468.1109916384478,439.85656790036165,0.9396416143974914
(유물)아드레날린 각인서,0.9987039761039178,0.9990334330005456,0.9974348673196917,0.9951467746476621,1.0004329542415777,1.007169846289908,1.002257521565537,243885.92138033858,73316.3836004525,0.30061753128470275
